run,hla,readout,n_tcr,icc,var_tcr,var_cognate,var_peptide,cognate_delta,delta_ci_lo,delta_ci_hi,perm_p
panel1,A*02:01,iptm_TCRpep_max,29,0.3673,0.5167,0.0737,0.2339,0.0941,0.0513,0.1346,0.0001
panel1,A*02:01,iptm_beta_pep,29,0.3508,0.5043,0.0765,0.2318,0.0927,0.0523,0.1318,0.0001
panel1,A*02:01,iptm_groove_ctrl,29,-0.2137,0.0869,0.0122,0.8379,0.002,-0.0014,0.0051,0.1386
hla_a1101,A*11:01,iptm_TCRpep_max,18,0.3503,0.6625,0.0347,0.0717,0.03,-0.0114,0.0724,0.0907
hla_a1101,A*11:01,iptm_beta_pep,18,0.3494,0.662,0.0417,0.0668,0.0345,-0.0075,0.0793,0.0701
hla_a1101,A*11:01,iptm_groove_ctrl,18,-0.7137,0.1363,0.1007,0.6795,0.0018,-0.0005,0.004,0.0753
