run,hla,readout,icc,var_tcr,var_cognate,var_peptide,cognate_delta,delta_ci_lo,delta_ci_hi,perm_p
panel1,A*02:01,iptm_TCRpep_max,0.6845,0.7596,0.0226,0.0614,0.0616,0.0323,0.0917,0.0001
panel1,A*02:01,iptm_beta_pep,0.6926,0.7657,0.0194,0.0599,0.0557,0.0273,0.085,0.0002
panel1,A*02:01,iptm_groove_ctrl,-0.0632,0.1992,0.0024,0.258,0.0019,-0.0026,0.0061,0.2797
hla_a1101,A*11:01,iptm_TCRpep_max,0.4425,0.7126,0.0028,0.0059,0.01,-0.0308,0.0508,0.3173
hla_a1101,A*11:01,iptm_beta_pep,0.5036,0.7438,0.0106,0.005,0.0203,-0.0182,0.0596,0.1653
hla_a1101,A*11:01,iptm_groove_ctrl,-0.616,0.1855,0.0026,0.6384,0.0003,-0.0021,0.0027,0.3907
