run,mode,n,tcrpep_top1,var_tcr,var_cognate,cognate_delta,cognate_perm_p,groove_auroc
panel1,all,48,0.521,0.76,0.023,0.0616,0.0001,0.713
panel1,reconstructed,29,0.586,0.517,0.074,0.0941,0.0001,0.772
hla_a1101,all,24,0.583,0.713,0.003,0.01,0.3173,0.987
hla_a1101,reconstructed,18,0.611,0.662,0.035,0.03,0.0907,0.991
