row_chain,col_chain,iptm
TCRa,TCRa,0.0000
TCRa,TCRb,0.2522
TCRa,MHC,0.6391
TCRa,b2m,0.5049
TCRa,peptide,0.4252
TCRb,TCRa,0.2522
TCRb,TCRb,0.0000
TCRb,MHC,0.5850
TCRb,b2m,0.4023
TCRb,peptide,0.2974
MHC,TCRa,0.6391
MHC,TCRb,0.5850
MHC,MHC,0.0000
MHC,b2m,0.9776
MHC,peptide,0.9591
b2m,TCRa,0.5049
b2m,TCRb,0.4023
b2m,MHC,0.9776
b2m,b2m,0.0000
b2m,peptide,0.8380
peptide,TCRa,0.4252
peptide,TCRb,0.2974
peptide,MHC,0.9591
peptide,b2m,0.8380
peptide,peptide,0.0000
